controller_id,equipment_id,point_name,point_kind,units,value,quality,timestamp
MPC-2,RTU-1,RTU-1 SF-CMD,actuator,cmd,0,good,2026-07-10T23:45:00
MPC-2,RTU-1,RTU-1 SF-STS,status,status,0,good,2026-07-10T23:45:00
MPC-2,RTU-1,RTU-1 HTG-EN,actuator,cmd,0,good,2026-07-10T23:45:00
MPC-2,RTU-1,RTU-1 CMP-STS,status,status,0,good,2026-07-10T23:45:00
MPC-2,RTU-1,RTU-1 FLT-ALM,alarm,alarm,0,good,2026-07-10T23:45:00
MPC-2,CHLR-1,CHLR-1 CHWS,sensor,degF,41.93,good,2026-07-10T23:45:00
MPC-2,CHLR-1,CHLR-1 CHWR,sensor,degF,55.5,good,2026-07-10T23:45:00
MPC-2,CHLR-1,CHLR-1 CHW-DP,sensor,psi,11.67,good,2026-07-10T23:45:00
MPC-2,CHLR-1,CHLR-1 ENABLE,actuator,cmd,0,good,2026-07-10T23:45:00
MPC-2,CHLR-1,CHLR-1 RUN-STS,status,status,0,good,2026-07-10T23:45:00
MPC-2,CHLR-1,CHLR-1 ALM,alarm,alarm,0,good,2026-07-10T23:45:00
MPC-2,CHLR-1,CHLR-1 LWT-SP,setpoint,degF,72,good,2026-07-10T23:45:00
MPC-2,CHLR-1,CHLR-1 KW,sensor,kW,73.84,good,2026-07-10T23:45:00
MPC-2,BLR-1,BLR-1 HWS,sensor,degF,167.46,good,2026-07-10T23:45:00
MPC-2,BLR-1,BLR-1 HWR,sensor,degF,148.86,good,2026-07-10T23:45:00
MPC-2,BLR-1,BLR-1 HWS-SP,setpoint,degF,72,good,2026-07-10T23:45:00
MPC-2,BLR-1,BLR-1 ENABLE,actuator,cmd,0,good,2026-07-10T23:45:00
MPC-2,BLR-1,BLR-1 RUN-STS,status,status,0,good,2026-07-10T23:45:00
MPC-2,BLR-1,BLR-1 ALM,alarm,alarm,0,good,2026-07-10T23:45:00
MPC-2,BLR-1,BLR-1 MOD-CMD,actuator,pct,47.71,good,2026-07-10T23:45:00
MPC-2,BLR-1,BLR-1 GAS-PRES,sensor,inWC,7.5,good,2026-07-10T23:45:00
MPC-2,CT-1,CT-1 CWS,sensor,degF,81.9,good,2026-07-10T23:45:00
MPC-2,CT-1,CT-1 CWR,sensor,degF,89.94,good,2026-07-10T23:45:00
MPC-2,CT-1,CT-1 FAN-CMD,actuator,cmd,0,good,2026-07-10T23:45:00
MPC-2,CT-1,CT-1 FAN-STS,status,status,0,good,2026-07-10T23:45:00
MPC-2,CT-1,CT-1 FAN-SPD,actuator,pct,47.71,good,2026-07-10T23:45:00
MPC-2,CT-1,CT-1 BASIN-LVL,sensor,pct,49.05,good,2026-07-10T23:45:00
MPC-2,CT-1,CT-1 ALM,alarm,alarm,0,good,2026-07-10T23:45:00
MPC-2,PUMP-CHW-1,PUMP-CHW-1 CMD,actuator,cmd,0,good,2026-07-10T23:45:00
MPC-2,PUMP-CHW-1,PUMP-CHW-1 STS,status,status,0,good,2026-07-10T23:45:00
MPC-2,PUMP-CHW-1,PUMP-CHW-1 SPD,actuator,pct,47.71,good,2026-07-10T23:45:00
MPC-2,PUMP-CHW-1,PUMP-CHW-1 DP,sensor,psi,12.02,good,2026-07-10T23:45:00
MPC-2,PUMP-CHW-2,PUMP-CHW-2 CMD,actuator,cmd,0,good,2026-07-10T23:45:00
MPC-2,PUMP-CHW-2,PUMP-CHW-2 STS,status,status,0,good,2026-07-10T23:45:00
MPC-2,PUMP-CHW-2,PUMP-CHW-2 SPD,actuator,pct,47.71,good,2026-07-10T23:45:00
MPC-2,PUMP-CHW-2,PUMP-CHW-2 DP,sensor,psi,11.54,good,2026-07-10T23:45:00
MPC-2,PUMP-HW-1,PUMP-HW-1 CMD,actuator,cmd,0,good,2026-07-10T23:45:00
MPC-2,PUMP-HW-1,PUMP-HW-1 STS,status,status,0,good,2026-07-10T23:45:00
MPC-2,PUMP-HW-1,PUMP-HW-1 SPD,actuator,pct,47.71,good,2026-07-10T23:45:00
MPC-2,PUMP-HW-1,PUMP-HW-1 DP,sensor,psi,12.02,good,2026-07-10T23:45:00
MPC-2,PUMP-CW-1,PUMP-CW-1 CMD,actuator,cmd,0,good,2026-07-10T23:45:00
MPC-2,PUMP-CW-1,PUMP-CW-1 STS,status,status,0,good,2026-07-10T23:45:00
MPC-2,PUMP-CW-1,PUMP-CW-1 SPD,actuator,pct,47.71,good,2026-07-10T23:45:00
MPC-2,PUMP-CW-1,PUMP-CW-1 DP,sensor,psi,11.96,good,2026-07-10T23:45:00
VAV-1,VAV-101,VAV-101 ZN-T,sensor,degF,70.3,good,2026-07-10T23:45:00
VAV-1,VAV-101,VAV-101 ZN-SP,setpoint,degF,72,good,2026-07-10T23:45:00
VAV-1,VAV-101,VAV-101 DMP-CMD,actuator,pct,47.71,good,2026-07-10T23:45:00
VAV-1,VAV-101,VAV-101 DMP-POS,sensor,pct,47.31,good,2026-07-10T23:45:00
VAV-1,VAV-101,VAV-101 AIRFLOW,sensor,cfm,988.67,good,2026-07-10T23:45:00
VAV-1,VAV-101,VAV-101 HTG-CMD,actuator,pct,47.71,good,2026-07-10T23:45:00
VAV-1,VAV-102,VAV-102 ZN-T,sensor,degF,70.29,good,2026-07-10T23:45:00
VAV-1,VAV-102,VAV-102 ZN-SP,setpoint,degF,72,good,2026-07-10T23:45:00
VAV-1,VAV-102,VAV-102 DMP-CMD,actuator,pct,47.71,good,2026-07-10T23:45:00
VAV-1,VAV-102,VAV-102 DMP-POS,sensor,pct,47.06,good,2026-07-10T23:45:00
VAV-1,VAV-102,VAV-102 AIRFLOW,sensor,cfm,815.63,good,2026-07-10T23:45:00
VAV-2,VAV-201,VAV-201 ZN-T,sensor,degF,70.7,good,2026-07-10T23:45:00
VAV-2,VAV-201,VAV-201 ZN-SP,setpoint,degF,72,good,2026-07-10T23:45:00
VAV-2,VAV-201,VAV-201 DMP-CMD,actuator,pct,47.71,good,2026-07-10T23:45:00
VAV-2,VAV-201,VAV-201 DMP-POS,sensor,pct,49.11,good,2026-07-10T23:45:00
VAV-2,VAV-201,VAV-201 AIRFLOW,sensor,cfm,913.36,good,2026-07-10T23:45:00
VAV-2,VAV-201,VAV-201 HTG-CMD,actuator,pct,47.71,good,2026-07-10T23:45:00
VAV-2,VAV-202,VAV-202 ZN-T,sensor,degF,70.61,good,2026-07-10T23:45:00
VAV-2,VAV-202,VAV-202 ZN-SP,setpoint,degF,72,good,2026-07-10T23:45:00
VAV-2,VAV-202,VAV-202 DMP-CMD,actuator,pct,47.71,good,2026-07-10T23:45:00
VAV-2,VAV-202,VAV-202 DMP-POS,sensor,pct,48.84,good,2026-07-10T23:45:00
VAV-2,VAV-202,VAV-202 AIRFLOW,sensor,cfm,712.06,good,2026-07-10T23:45:00
VAV-3,VAV-203,VAV-203 ZN-T,sensor,degF,70.33,good,2026-07-10T23:45:00
VAV-3,VAV-203,VAV-203 ZN-SP,setpoint,degF,72,good,2026-07-10T23:45:00
VAV-3,VAV-203,VAV-203 DMP-CMD,actuator,pct,47.71,good,2026-07-10T23:45:00
VAV-3,VAV-203,VAV-203 DMP-POS,sensor,pct,48.9,good,2026-07-10T23:45:00
VAV-3,VAV-203,VAV-203 AIRFLOW,sensor,cfm,844.94,good,2026-07-10T23:45:00
VAV-3,VAV-203,VAV-203 HTG-CMD,actuator,pct,47.71,good,2026-07-10T23:45:00
