Point Name,Equipment ID,Point Kind,Direction,Units,Unit System,Range Min,Range Max,Controller ID,BACnet Object Type,BACnet Instance,Modbus Register,Modbus Type,Source,Source Reference,Description,Tags
AHU-1 HTG VALVE,AHU-1,actuator,output,pct,IP,0,100,AHU-CTRL-01,AO,1012,41012,,point_list,AHU-1-1012,Heating valve command,"command,heating-valve"
AHU-1 OA DAMPER,AHU-1,actuator,output,pct,IP,0,100,AHU-CTRL-01,AO,1013,41013,,point_list,AHU-1-1013,Outside air damper command,"command,damper"
AHU-1 FREEZE STAT,AHU-1,status,input,,,,,AHU-CTRL-01,BI,1014,41014,,point_list,AHU-1-1014,Freeze stat status,"freeze-protection,status"
AHU-1 DUCT SMOKE,AHU-1,alarm,input,,,,,AHU-CTRL-01,BI,1015,41015,,point_list,AHU-1-1015,Duct smoke detector alarm,"alarm,smoke"
AHU-1 AREA SMOKE,AHU-1,alarm,input,,,,,AHU-CTRL-01,BI,1016,41016,,point_list,AHU-1-1016,Area smoke detector alarm,"alarm,smoke"
AHU-1 FIRE ALARM,AHU-1,alarm,input,,,,,AHU-CTRL-01,BI,1017,41017,,point_list,AHU-1-1017,Fire alarm interlock,"alarm,fire"
AHU-1 FILTER DP,AHU-1,sensor,input,inWC,IP,0,3,AHU-CTRL-01,AI,1018,41018,,point_list,AHU-1-1018,Filter differential pressure,"pressure,filter"
AHU-2 OAT,AHU-2,sensor,input,degF,IP,-20,120,AHU-CTRL-01,AI,1019,41019,,point_list,AHU-2-1019,Outside air temperature,"temperature,outside-air"
AHU-2 OA HUM,AHU-2,sensor,input,pct,IP,0,100,AHU-CTRL-01,AI,1020,41020,,point_list,AHU-2-1020,Outside air humidity,"humidity,outside-air"
AHU-2 MAT,AHU-2,sensor,input,degF,IP,35,95,AHU-CTRL-01,AI,1021,41021,,point_list,AHU-2-1021,Mixed air temperature,"temperature,mixed-air"
AHU-2 RAT,AHU-2,sensor,input,degF,IP,60,85,AHU-CTRL-01,AI,1022,41022,,point_list,AHU-2-1022,Return air temperature,"temperature,return-air"
AHU-2 RA HUM,AHU-2,sensor,input,pct,IP,15,85,AHU-CTRL-01,AI,1023,41023,,point_list,AHU-2-1023,Return air humidity,"humidity,return-air"
AHU-2 SAT,AHU-2,sensor,input,degF,IP,45,85,AHU-CTRL-01,AI,1024,41024,,point_list,AHU-2-1024,Supply air temperature,"temperature,supply-air"
AHU-2 SAT-SP,AHU-2,setpoint,input,degF,IP,50,65,AHU-CTRL-01,AV,1025,41025,,point_list,AHU-2-1025,Supply air temperature setpoint,"setpoint,supply-air"
AHU-2 DUCT SP,AHU-2,sensor,input,inWC,IP,0,4,AHU-CTRL-01,AI,1026,41026,,point_list,AHU-2-1026,Supply duct static pressure,"pressure,duct"
AHU-2 SF STATUS,AHU-2,status,input,,,,,AHU-CTRL-01,BI,1027,41027,,point_list,AHU-2-1027,Supply fan proof status,"status,supply-fan"
AHU-2 SF CMD,AHU-2,actuator,output,pct,IP,0,100,AHU-CTRL-01,AO,1028,41028,,point_list,AHU-2-1028,Supply fan VFD speed command,"command,supply-fan,vfd"
AHU-2 CLG VALVE,AHU-2,actuator,output,pct,IP,0,100,AHU-CTRL-01,AO,1029,41029,,point_list,AHU-2-1029,Cooling valve command,"command,cooling-valve"
AHU-2 HTG VALVE,AHU-2,actuator,output,pct,IP,0,100,AHU-CTRL-01,AO,1030,41030,,point_list,AHU-2-1030,Heating valve command,"command,heating-valve"
AHU-2 OA DAMPER,AHU-2,actuator,output,pct,IP,0,100,AHU-CTRL-01,AO,1031,41031,,point_list,AHU-2-1031,Outside air damper command,"command,damper"
AHU-2 FREEZE STAT,AHU-2,status,input,,,,,AHU-CTRL-01,BI,1032,41032,,point_list,AHU-2-1032,Freeze stat status,"freeze-protection,status"
AHU-2 DUCT SMOKE,AHU-2,alarm,input,,,,,AHU-CTRL-01,BI,1033,41033,,point_list,AHU-2-1033,Duct smoke detector alarm,"alarm,smoke"
AHU-2 AREA SMOKE,AHU-2,alarm,input,,,,,AHU-CTRL-01,BI,1034,41034,,point_list,AHU-2-1034,Area smoke detector alarm,"alarm,smoke"
AHU-2 FIRE ALARM,AHU-2,alarm,input,,,,,AHU-CTRL-01,BI,1035,41035,,point_list,AHU-2-1035,Fire alarm interlock,"alarm,fire"
AHU-2 FILTER DP,AHU-2,sensor,input,inWC,IP,0,3,AHU-CTRL-01,AI,1036,41036,,point_list,AHU-2-1036,Filter differential pressure,"pressure,filter"
VAV-101 AIRFLOW,VAV-101,sensor,input,CFM,IP,0,1800,AHU-CTRL-01,AI,1037,41037,,point_list,VAV-101-1037,Measured airflow,"airflow,sensor"
VAV-101 FLOW-SP,VAV-101,setpoint,input,CFM,IP,300,1800,AHU-CTRL-01,AV,1038,41038,,point_list,VAV-101-1038,Airflow setpoint,"airflow,setpoint"
VAV-101 DAMPER CMD,VAV-101,actuator,output,pct,IP,0,100,AHU-CTRL-01,AO,1039,41039,,point_list,VAV-101-1039,Damper command,"command,damper"
VAV-101 ZT,VAV-101,sensor,input,degF,IP,60,85,AHU-CTRL-01,AI,1040,41040,,point_list,VAV-101-1040,Zone temperature,"temperature,zone"
VAV-101 ZN-T SP,VAV-101,setpoint,input,degF,IP,68,76,AHU-CTRL-01,AV,1041,41041,,point_list,VAV-101-1041,Zone temperature setpoint,"temperature,setpoint"
VAV-101 OCC CMD,VAV-101,status,input,,,,,AHU-CTRL-01,BI,1042,41042,,point_list,VAV-101-1042,Occupancy command,"occupancy,command"
VAV-101 BOX FLOW STS,VAV-101,status,input,,,,,AHU-CTRL-01,BI,1043,41043,,point_list,VAV-101-1043,Flow pickup status,"status,airflow"
VAV-101 LOW FLOW ALM,VAV-101,alarm,input,,,,,AHU-CTRL-01,BI,1044,41044,,point_list,VAV-101-1044,Low flow alarm,"alarm,airflow"
VAV-101 SPACE HUM,VAV-101,sensor,input,pct,IP,15,80,AHU-CTRL-01,AI,1045,41045,,point_list,VAV-101-1045,Space humidity,"humidity,zone"
VAV-101 CO2,VAV-101,sensor,input,ppm,IP,350,2000,AHU-CTRL-01,AI,1046,41046,,point_list,VAV-101-1046,Zone CO2 concentration,"co2,iaq"
VAV-101 REHEAT VALVE,VAV-101,actuator,output,pct,IP,0,100,AHU-CTRL-01,AO,1047,41047,,point_list,VAV-101-1047,Reheat valve command,"command,reheat"
VAV-101 HW-VLV FB,VAV-101,sensor,input,pct,IP,0,100,AHU-CTRL-01,AI,1048,41048,,point_list,VAV-101-1048,Heating valve feedback,"feedback,reheat"
VAV-102 AIRFLOW,VAV-102,sensor,input,CFM,IP,0,1800,AHU-CTRL-01,AI,1049,41049,,point_list,VAV-102-1049,Measured airflow,"airflow,sensor"
VAV-102 FLOW-SP,VAV-102,setpoint,input,CFM,IP,300,1800,AHU-CTRL-01,AV,1050,41050,,point_list,VAV-102-1050,Airflow setpoint,"airflow,setpoint"
VAV-102 DAMPER CMD,VAV-102,actuator,output,pct,IP,0,100,AHU-CTRL-01,AO,1051,41051,,point_list,VAV-102-1051,Damper command,"command,damper"
VAV-102 ZT,VAV-102,sensor,input,degF,IP,60,85,AHU-CTRL-01,AI,1052,41052,,point_list,VAV-102-1052,Zone temperature,"temperature,zone"
VAV-102 ZN-T SP,VAV-102,setpoint,input,degF,IP,68,76,AHU-CTRL-01,AV,1053,41053,,point_list,VAV-102-1053,Zone temperature setpoint,"temperature,setpoint"
VAV-102 OCC CMD,VAV-102,status,input,,,,,AHU-CTRL-01,BI,1054,41054,,point_list,VAV-102-1054,Occupancy command,"occupancy,command"
VAV-102 BOX FLOW STS,VAV-102,status,input,,,,,AHU-CTRL-01,BI,1055,41055,,point_list,VAV-102-1055,Flow pickup status,"status,airflow"
VAV-102 LOW FLOW ALM,VAV-102,alarm,input,,,,,AHU-CTRL-01,BI,1056,41056,,point_list,VAV-102-1056,Low flow alarm,"alarm,airflow"
VAV-102 SPACE HUM,VAV-102,sensor,input,pct,IP,15,80,AHU-CTRL-01,AI,1057,41057,,point_list,VAV-102-1057,Space humidity,"humidity,zone"
VAV-102 CO2,VAV-102,sensor,input,ppm,IP,350,2000,AHU-CTRL-01,AI,1058,41058,,point_list,VAV-102-1058,Zone CO2 concentration,"co2,iaq"
VAV-102 REHEAT VALVE,VAV-102,actuator,output,pct,IP,0,100,AHU-CTRL-01,AO,1059,41059,,point_list,VAV-102-1059,Reheat valve command,"command,reheat"
VAV-102 HW-VLV FB,VAV-102,sensor,input,pct,IP,0,100,AHU-CTRL-01,AI,1060,41060,,point_list,VAV-102-1060,Heating valve feedback,"feedback,reheat"
VAV-103 AIRFLOW,VAV-103,sensor,input,CFM,IP,0,1800,AHU-CTRL-01,AI,1061,41061,,point_list,VAV-103-1061,Measured airflow,"airflow,sensor"
VAV-103 FLOW-SP,VAV-103,setpoint,input,CFM,IP,300,1800,AHU-CTRL-01,AV,1062,41062,,point_list,VAV-103-1062,Airflow setpoint,"airflow,setpoint"
VAV-103 DAMPER CMD,VAV-103,actuator,output,pct,IP,0,100,AHU-CTRL-01,AO,1063,41063,,point_list,VAV-103-1063,Damper command,"command,damper"
VAV-103 ZT,VAV-103,sensor,input,degF,IP,60,85,AHU-CTRL-01,AI,1064,41064,,point_list,VAV-103-1064,Zone temperature,"temperature,zone"
VAV-103 ZN-T SP,VAV-103,setpoint,input,degF,IP,68,76,AHU-CTRL-01,AV,1065,41065,,point_list,VAV-103-1065,Zone temperature setpoint,"temperature,setpoint"
VAV-103 OCC CMD,VAV-103,status,input,,,,,AHU-CTRL-01,BI,1066,41066,,point_list,VAV-103-1066,Occupancy command,"occupancy,command"
VAV-103 BOX FLOW STS,VAV-103,status,input,,,,,AHU-CTRL-01,BI,1067,41067,,point_list,VAV-103-1067,Flow pickup status,"status,airflow"
VAV-103 LOW FLOW ALM,VAV-103,alarm,input,,,,,AHU-CTRL-01,BI,1068,41068,,point_list,VAV-103-1068,Low flow alarm,"alarm,airflow"
VAV-103 SPACE HUM,VAV-103,sensor,input,pct,IP,15,80,AHU-CTRL-01,AI,1069,41069,,point_list,VAV-103-1069,Space humidity,"humidity,zone"
VAV-103 CO2,VAV-103,sensor,input,ppm,IP,350,2000,AHU-CTRL-01,AI,1070,41070,,point_list,VAV-103-1070,Zone CO2 concentration,"co2,iaq"
VAV-103 REHEAT VALVE,VAV-103,actuator,output,pct,IP,0,100,AHU-CTRL-01,AO,1071,41071,,point_list,VAV-103-1071,Reheat valve command,"command,reheat"
VAV-103 HW-VLV FB,VAV-103,sensor,input,pct,IP,0,100,AHU-CTRL-01,AI,1072,41072,,point_list,VAV-103-1072,Heating valve feedback,"feedback,reheat"
VAV-202 AIRFLOW,VAV-202,sensor,input,CFM,IP,0,1800,ZONE-CTRL-02,AI,1073,41073,,point_list,VAV-202-1073,Measured airflow,"airflow,sensor"
VAV-202 FLOW-SP,VAV-202,setpoint,input,CFM,IP,300,1800,ZONE-CTRL-02,AV,1074,41074,,point_list,VAV-202-1074,Airflow setpoint,"airflow,setpoint"
VAV-202 DAMPER CMD,VAV-202,actuator,output,pct,IP,0,100,ZONE-CTRL-02,AO,1075,41075,,point_list,VAV-202-1075,Damper command,"command,damper"
VAV-202 ZT,VAV-202,sensor,input,degF,IP,60,85,ZONE-CTRL-02,AI,1076,41076,,point_list,VAV-202-1076,Zone temperature,"temperature,zone"
VAV-202 ZN-T SP,VAV-202,setpoint,input,degF,IP,68,76,ZONE-CTRL-02,AV,1077,41077,,point_list,VAV-202-1077,Zone temperature setpoint,"temperature,setpoint"
VAV-202 OCC CMD,VAV-202,status,input,,,,,ZONE-CTRL-02,BI,1078,41078,,point_list,VAV-202-1078,Occupancy command,"occupancy,command"
VAV-202 BOX FLOW STS,VAV-202,status,input,,,,,ZONE-CTRL-02,BI,1079,41079,,point_list,VAV-202-1079,Flow pickup status,"status,airflow"
VAV-202 LOW FLOW ALM,VAV-202,alarm,input,,,,,ZONE-CTRL-02,BI,1080,41080,,point_list,VAV-202-1080,Low flow alarm,"alarm,airflow"
VAV-202 SPACE HUM,VAV-202,sensor,input,pct,IP,15,80,ZONE-CTRL-02,AI,1081,41081,,point_list,VAV-202-1081,Space humidity,"humidity,zone"
VAV-202 CO2,VAV-202,sensor,input,ppm,IP,350,2000,ZONE-CTRL-02,AI,1082,41082,,point_list,VAV-202-1082,Zone CO2 concentration,"co2,iaq"
VAV-202 REHEAT VALVE,VAV-202,actuator,output,pct,IP,0,100,ZONE-CTRL-02,AO,1083,41083,,point_list,VAV-202-1083,Reheat valve command,"command,reheat"
VAV-202 HW-VLV FB,VAV-202,sensor,input,pct,IP,0,100,ZONE-CTRL-02,AI,1084,41084,,point_list,VAV-202-1084,Heating valve feedback,"feedback,reheat"
VAV-201 AIRFLOW,VAV-201,sensor,input,CFM,IP,0,1800,ZONE-CTRL-02,AI,1085,41085,,point_list,VAV-201-1085,Measured airflow,"airflow,sensor"
VAV-201 FLOW-SP,VAV-201,setpoint,input,CFM,IP,300,1800,ZONE-CTRL-02,AV,1086,41086,,point_list,VAV-201-1086,Airflow setpoint,"airflow,setpoint"
VAV-201 DAMPER CMD,VAV-201,actuator,output,pct,IP,0,100,ZONE-CTRL-02,AO,1087,41087,,point_list,VAV-201-1087,Damper command,"command,damper"
VAV-201 ZT,VAV-201,sensor,input,degF,IP,60,85,ZONE-CTRL-02,AI,1088,41088,,point_list,VAV-201-1088,Zone temperature,"temperature,zone"
VAV-201 ZN-T SP,VAV-201,setpoint,input,degF,IP,68,76,ZONE-CTRL-02,AV,1089,41089,,point_list,VAV-201-1089,Zone temperature setpoint,"temperature,setpoint"
VAV-201 OCC CMD,VAV-201,status,input,,,,,ZONE-CTRL-02,BI,1090,41090,,point_list,VAV-201-1090,Occupancy command,"occupancy,command"
VAV-201 BOX FLOW STS,VAV-201,status,input,,,,,ZONE-CTRL-02,BI,1091,41091,,point_list,VAV-201-1091,Flow pickup status,"status,airflow"
VAV-201 LOW FLOW ALM,VAV-201,alarm,input,,,,,ZONE-CTRL-02,BI,1092,41092,,point_list,VAV-201-1092,Low flow alarm,"alarm,airflow"
VAV-201 SPACE HUM,VAV-201,sensor,input,pct,IP,15,80,ZONE-CTRL-02,AI,1093,41093,,point_list,VAV-201-1093,Space humidity,"humidity,zone"
VAV-201 CO2,VAV-201,sensor,input,ppm,IP,350,2000,ZONE-CTRL-02,AI,1094,41094,,point_list,VAV-201-1094,Zone CO2 concentration,"co2,iaq"
CHLR-1 CHWS,CHLR-1,sensor,input,degF,IP,36,54,PLANT-CTRL-01,AI,1095,41095,,point_list,CHLR-1-1095,Chilled water supply temperature,"chilled-water,supply"
CHLR-1 CHWR,CHLR-1,sensor,input,degF,IP,45,70,PLANT-CTRL-01,AI,1096,41096,,point_list,CHLR-1-1096,Chilled water return temperature,"chilled-water,return"
CHLR-1 CHW-DP,CHLR-1,sensor,input,psi,IP,0,25,PLANT-CTRL-01,AI,1097,41097,,point_list,CHLR-1-1097,Chilled water differential pressure,"pressure,chilled-water"
CHLR-1 CWS,CHLR-1,sensor,input,degF,IP,60,95,PLANT-CTRL-01,AI,1098,41098,,point_list,CHLR-1-1098,Condenser water supply temperature,"condenser-water,supply"
CHLR-1 CWR,CHLR-1,sensor,input,degF,IP,70,110,PLANT-CTRL-01,AI,1099,41099,,point_list,CHLR-1-1099,Condenser water return temperature,"condenser-water,return"
CHLR-1 LOAD KW,CHLR-1,sensor,input,kW,IP,0,260,PLANT-CTRL-01,AI,1100,41100,,point_list,CHLR-1-1100,Chiller electrical demand,"power,chiller"
CHLR-1 CHLR ENABLE,CHLR-1,status,output,,,,,PLANT-CTRL-01,BO,1101,41101,,point_list,CHLR-1-1101,Chiller enable command,"command,chiller"
CHLR-1 CHWS-SP,CHLR-1,setpoint,input,degF,IP,40,48,PLANT-CTRL-01,AV,1102,41102,,point_list,CHLR-1-1102,CHW supply setpoint,"setpoint,chilled-water"
CHLR-1 FLOW STS,CHLR-1,status,input,,,,,PLANT-CTRL-01,BI,1103,41103,,point_list,CHLR-1-1103,Evaporator flow proof,"status,flow"
CHLR-1 FAULT ALM,CHLR-1,alarm,input,,,,,PLANT-CTRL-01,BI,1104,41104,,point_list,CHLR-1-1104,Chiller fault alarm,"alarm,chiller"
CHLR-1 STARTS,CHLR-1,sensor,input,count,IP,0,5000,PLANT-CTRL-01,AI,1105,41105,,point_list,CHLR-1-1105,Chiller starts count,"runtime,chiller"
CHLR-1 RUN HRS,CHLR-1,sensor,input,hrs,IP,0,50000,PLANT-CTRL-01,AI,1106,41106,,point_list,CHLR-1-1106,Chiller run hours,"runtime,chiller"
BLR-1 HWS,BLR-1,sensor,input,degF,IP,120,190,HEAT-CTRL-01,AI,1107,41107,,point_list,BLR-1-1107,Heating water supply temperature,"heating-water,supply"
BLR-1 HWR,BLR-1,sensor,input,degF,IP,100,170,HEAT-CTRL-01,AI,1108,41108,,point_list,BLR-1-1108,Heating water return temperature,"heating-water,return"
BLR-1 HWS-SP,BLR-1,setpoint,input,degF,IP,140,180,HEAT-CTRL-01,AV,1109,41109,,point_list,BLR-1-1109,Heating water supply setpoint,"setpoint,heating-water"
BLR-1 BURNER CMD,BLR-1,actuator,output,pct,IP,0,100,HEAT-CTRL-01,AO,1110,41110,,point_list,BLR-1-1110,Burner firing rate command,"command,burner"
BLR-1 ENABLE STS,BLR-1,status,input,,,,,HEAT-CTRL-01,BI,1111,41111,,point_list,BLR-1-1111,Boiler enable proof,"status,boiler"
BLR-1 FLAME SAFETY,BLR-1,alarm,input,,,,,HEAT-CTRL-01,BI,1112,41112,,point_list,BLR-1-1112,Flame safeguard alarm,"alarm,boiler"
BLR-1 PRES,BLR-1,sensor,input,psi,IP,0,30,HEAT-CTRL-01,AI,1113,41113,,point_list,BLR-1-1113,Loop pressure,"pressure,heating-water"
BLR-1 FLOW STS,BLR-1,status,input,,,,,HEAT-CTRL-01,BI,1114,41114,,point_list,BLR-1-1114,Boiler flow proof,"status,flow"
BLR-1 RUN HRS,BLR-1,sensor,input,hrs,IP,0,50000,HEAT-CTRL-01,AI,1115,41115,,point_list,BLR-1-1115,Boiler run hours,"runtime,boiler"
BLR-1 STARTS,BLR-1,sensor,input,count,IP,0,5000,HEAT-CTRL-01,AI,1116,41116,,point_list,BLR-1-1116,Boiler starts count,"runtime,boiler"
CHWP-1 CHW-DP,CHWP-1,sensor,input,psi,IP,0,25,PLANT-CTRL-01,AI,1117,41117,,point_list,CHWP-1-1117,CHW differential pressure,"pressure,chw"
CHWP-1 FLOW,CHWP-1,sensor,input,GPM,IP,0,500,PLANT-CTRL-01,AI,1118,41118,,point_list,CHWP-1-1118,Pump flow,"flow,pump"
CHWP-1 SPD CMD,CHWP-1,actuator,output,pct,IP,0,100,PLANT-CTRL-01,AO,1119,41119,,point_list,CHWP-1-1119,Pump VFD speed command,"command,vfd,pump"
CHWP-1 STATUS,CHWP-1,status,input,,,,,PLANT-CTRL-01,BI,1120,41120,,point_list,CHWP-1-1120,Pump proof status,"status,pump"
CHWP-1 LEAD CMD,CHWP-1,status,output,,,,,PLANT-CTRL-01,BO,1121,41121,,point_list,CHWP-1-1121,Lead pump command,"command,lead-lag"
CHWP-1 FAULT ALM,CHWP-1,alarm,input,,,,,PLANT-CTRL-01,BI,1122,41122,,point_list,CHWP-1-1122,Pump fault alarm,"alarm,pump"
CHWP-1 KW,CHWP-1,sensor,input,kW,IP,0,40,PLANT-CTRL-01,AI,1123,41123,,point_list,CHWP-1-1123,Pump power,"power,pump"
CHWP-1 RUN HRS,CHWP-1,sensor,input,hrs,IP,0,50000,PLANT-CTRL-01,AI,1124,41124,,point_list,CHWP-1-1124,Pump run hours,"runtime,pump"
CHWP-2 CHW-DP,CHWP-2,sensor,input,psi,IP,0,25,PLANT-CTRL-01,AI,1125,41125,,point_list,CHWP-2-1125,CHW differential pressure,"pressure,chw"
CHWP-2 FLOW,CHWP-2,sensor,input,GPM,IP,0,500,PLANT-CTRL-01,AI,1126,41126,,point_list,CHWP-2-1126,Pump flow,"flow,pump"
CHWP-2 SPD CMD,CHWP-2,actuator,output,pct,IP,0,100,PLANT-CTRL-01,AO,1127,41127,,point_list,CHWP-2-1127,Pump VFD speed command,"command,vfd,pump"
CHWP-2 STATUS,CHWP-2,status,input,,,,,PLANT-CTRL-01,BI,1128,41128,,point_list,CHWP-2-1128,Pump proof status,"status,pump"
CHWP-2 LEAD CMD,CHWP-2,status,output,,,,,PLANT-CTRL-01,BO,1129,41129,,point_list,CHWP-2-1129,Lead pump command,"command,lead-lag"
CHWP-2 FAULT ALM,CHWP-2,alarm,input,,,,,PLANT-CTRL-01,BI,1130,41130,,point_list,CHWP-2-1130,Pump fault alarm,"alarm,pump"
CHWP-2 KW,CHWP-2,sensor,input,kW,IP,0,40,PLANT-CTRL-01,AI,1131,41131,,point_list,CHWP-2-1131,Pump power,"power,pump"
CHWP-2 RUN HRS,CHWP-2,sensor,input,hrs,IP,0,50000,PLANT-CTRL-01,AI,1132,41132,,point_list,CHWP-2-1132,Pump run hours,"runtime,pump"
HWP-1 HW-DP,HWP-1,sensor,input,psi,IP,0,25,HEAT-CTRL-01,AI,1133,41133,,point_list,HWP-1-1133,HW differential pressure,"pressure,hw"
HWP-1 FLOW,HWP-1,sensor,input,GPM,IP,0,500,HEAT-CTRL-01,AI,1134,41134,,point_list,HWP-1-1134,Pump flow,"flow,pump"
HWP-1 SPD CMD,HWP-1,actuator,output,pct,IP,0,100,HEAT-CTRL-01,AO,1135,41135,,point_list,HWP-1-1135,Pump VFD speed command,"command,vfd,pump"
HWP-1 STATUS,HWP-1,status,input,,,,,HEAT-CTRL-01,BI,1136,41136,,point_list,HWP-1-1136,Pump proof status,"status,pump"
HWP-1 LEAD CMD,HWP-1,status,output,,,,,HEAT-CTRL-01,BO,1137,41137,,point_list,HWP-1-1137,Lead pump command,"command,lead-lag"
HWP-1 FAULT ALM,HWP-1,alarm,input,,,,,HEAT-CTRL-01,BI,1138,41138,,point_list,HWP-1-1138,Pump fault alarm,"alarm,pump"
HWP-1 KW,HWP-1,sensor,input,kW,IP,0,40,HEAT-CTRL-01,AI,1139,41139,,point_list,HWP-1-1139,Pump power,"power,pump"
HWP-1 RUN HRS,HWP-1,sensor,input,hrs,IP,0,50000,HEAT-CTRL-01,AI,1140,41140,,point_list,HWP-1-1140,Pump run hours,"runtime,pump"
HWP-2 HW-DP,HWP-2,sensor,input,psi,IP,0,25,HEAT-CTRL-01,AI,1141,41141,,point_list,HWP-2-1141,HW differential pressure,"pressure,hw"
HWP-2 FLOW,HWP-2,sensor,input,GPM,IP,0,500,HEAT-CTRL-01,AI,1142,41142,,point_list,HWP-2-1142,Pump flow,"flow,pump"
HWP-2 SPD CMD,HWP-2,actuator,output,pct,IP,0,100,HEAT-CTRL-01,AO,1143,41143,,point_list,HWP-2-1143,Pump VFD speed command,"command,vfd,pump"
HWP-2 STATUS,HWP-2,status,input,,,,,HEAT-CTRL-01,BI,1144,41144,,point_list,HWP-2-1144,Pump proof status,"status,pump"
HWP-2 LEAD CMD,HWP-2,status,output,,,,,HEAT-CTRL-01,BO,1145,41145,,point_list,HWP-2-1145,Lead pump command,"command,lead-lag"
HWP-2 FAULT ALM,HWP-2,alarm,input,,,,,HEAT-CTRL-01,BI,1146,41146,,point_list,HWP-2-1146,Pump fault alarm,"alarm,pump"
HWP-2 KW,HWP-2,sensor,input,kW,IP,0,40,HEAT-CTRL-01,AI,1147,41147,,point_list,HWP-2-1147,Pump power,"power,pump"
HWP-2 RUN HRS,HWP-2,sensor,input,hrs,IP,0,50000,HEAT-CTRL-01,AI,1148,41148,,point_list,HWP-2-1148,Pump run hours,"runtime,pump"
CT-1 CWS,CT-1,sensor,input,degF,IP,60,95,PLANT-CTRL-01,AI,1149,41149,,point_list,CT-1-1149,Tower leaving condenser water temperature,"cooling-tower,temperature"
CT-1 CWR,CT-1,sensor,input,degF,IP,70,110,PLANT-CTRL-01,AI,1150,41150,,point_list,CT-1-1150,Tower entering condenser water temperature,"cooling-tower,temperature"
CT-1 BASIN TEMP,CT-1,sensor,input,degF,IP,35,90,PLANT-CTRL-01,AI,1151,41151,,point_list,CT-1-1151,Tower basin temperature,"cooling-tower,temperature"
CT-1 FAN CMD,CT-1,actuator,output,pct,IP,0,100,PLANT-CTRL-01,AO,1152,41152,,point_list,CT-1-1152,Tower fan speed command,"command,fan"
CT-1 FAN STS,CT-1,status,input,,,,,PLANT-CTRL-01,BI,1153,41153,,point_list,CT-1-1153,Tower fan proof,"status,fan"
CT-1 MAKEUP VLV,CT-1,actuator,output,pct,IP,0,100,PLANT-CTRL-01,AO,1154,41154,,point_list,CT-1-1154,Makeup valve command,"command,valve"
CT-1 LEVEL,CT-1,sensor,input,pct,IP,0,100,PLANT-CTRL-01,AI,1155,41155,,point_list,CT-1-1155,Basin level,"level,cooling-tower"
CT-1 VIB ALM,CT-1,alarm,input,,,,,PLANT-CTRL-01,BI,1156,41156,,point_list,CT-1-1156,Tower vibration alarm,"alarm,cooling-tower"
CT-1 FREEZE ALM,CT-1,alarm,input,,,,,PLANT-CTRL-01,BI,1157,41157,,point_list,CT-1-1157,Tower freeze alarm,"alarm,freeze-protection"
CT-1 RUN HRS,CT-1,sensor,input,hrs,IP,0,50000,PLANT-CTRL-01,AI,1158,41158,,point_list,CT-1-1158,Tower run hours,"runtime,cooling-tower"
RTU-1 OAT,RTU-1,sensor,input,degF,IP,-20,120,ROOF-CTRL-01,AI,1159,41159,,point_list,RTU-1-1159,Outside air temperature,"temperature,outside-air"
RTU-1 OA HUM,RTU-1,sensor,input,pct,IP,0,100,ROOF-CTRL-01,AI,1160,41160,,point_list,RTU-1-1160,Outside air humidity,"humidity,outside-air"
